utm_campaign,gender,age_from,age_to,city,theme
0,m,31,45,Ставрополь,Региональные
1,f,25,47,Нижнекамск,Скидки и акции
2,f,37,49,Калининград,Еда и кулинария
3,m,50,50,Самара,Психология и отношения
4,m,26,34,Нижневартовск,Работа и вакансии
5,m,29,42,Ноябрьск,Сливы Заработок
6,f,36,46,Красноярск,Еда и кулинария
7,f,32,39,Воронеж,Путешествия и туризм
8,m,27,35,Брянск,Региональные
9,m,31,37,Екатеринбург,Любопытные факты
10,f,29,41,Реутов,Маркетинг и PR
11,m,25,26,Кисловодск,Культура и события
12,m,30,47,Таганрог,Наука и технологии
13,m,34,42,Салехард,Мода и стиль
14,m,33,40,Ульяновск,Фитнес
15,f,50,51,Братск,Мода и стиль
16,m,44,49,Октябрьский,Авто и мото
17,f,48,52,Сочи,Психология и отношения
18,f,34,52,Салехард,Кино
19,m,29,46,Ханты-Мансийск,Скидки и акции
20,m,38,54,Балашиха,Музыка
21,f,37,49,Вологда,Строительство и ремонт
22,f,25,39,Хасавюрт,Любопытные факты
23,m,40,41,Томск,Каталоги каналов и ботов
24,f,52,54,Железнодорожный,Экономика и Финансы
25,f,41,53,Таганрог,Юриспруденция
26,m,38,41,Махачкала,Дети и родители
27,m,25,27,Ухта,Авторские блоги
28,f,34,35,Нальчик,Экономика и Финансы
29,m,44,54,Кемерово,Искусство и дизайн
30,m,43,50,Новотроицк,Криптовалюты
31,f,25,38,Рязань,Образование
32,m,43,50,Тольятти,Еда и кулинария
33,f,32,50,Владимир,Спорт
34,f,25,25,Пермь,Видеоигры
35,m,43,48,Ногинск,Видеоигры
36,f,36,37,Симферополь,Каталоги каналов и ботов
37,f,27,29,Кемерово,Скидки и акции
38,f,27,49,Ялта,Новости и СМИ
39,m,32,52,Невинномысск,Авто и мото
40,m,27,29,Чайковский,Культура и события
41,m,33,51,Каменск-Уральский,Новости и СМИ
42,m,27,33,Батайск,Наука и технологии
43,f,29,36,Нижний Тагил,Знаменитости и образ жизни
44,f,40,47,Уфа,Дети и родители
45,f,36,52,Усолье-Сибирское,Мода и стиль
46,f,33,36,Якутск,Здоровье и медицина
47,m,42,44,Электросталь,Каталоги каналов и ботов
48,f,34,38,Электросталь,Психология и отношения
49,f,26,48,Астрахань,Образование
