theme,cpm,er,count
Авто и мото,494 ₽,20.77%,1 473
Авторские блоги,731 ₽,28.82%,6 036
Бизнес и стартапы,2 898 ₽,14.93%,4 180
Видеоигры,287 ₽,23.02%,2 235
В мире животных,357 ₽,24.20%,225
Дети и родители,580 ₽,16.30%,626
Другое,307 ₽,18.73%,15 090
Еда и кулинария,374 ₽,18.84%,1 557
Здоровье и медицина,455 ₽,15.06%,1 280
Знаменитости и образ жизни,426 ₽,26.54%,392
Инвестиции,3 270 ₽,22.73%,858
Иностранные языки,595 ₽,13.56%,3 891
Интернет технологии,1 475 ₽,21.38%,1 455
Искусство и дизайн,778 ₽,15.98%,781
История,449 ₽,16.07%,362
Каталоги каналов и ботов,508 ₽,7.28%,1 409
Кино,335 ₽,16.54%,2 538
"Книги, Аудиокниги и Подкасты",655 ₽,18.39%,522
Красота и уход,518 ₽,21.70%,617
Криптовалюты,7 673 ₽,19.58%,2 462
Культура и события,900 ₽,25.11%,180
Любопытные факты,397 ₽,14.01%,379
Маркетинг и PR,2 513 ₽,15.65%,3 087
Мода и стиль,1 283 ₽,21.64%,1 119
Мотивация и саморазвитие,728 ₽,13.76%,3 215
Музыка,230 ₽,15.91%,3 263
Наука и технологии,830 ₽,16.79%,2 725
Недвижимость,4 031 ₽,18.60%,376
Новости и СМИ,685 ₽,27.18%,14 106
Образование,591 ₽,16.87%,4 794
Отдых и развлечения,276 ₽,19.58%,4 556
Психология и отношения,470 ₽,16.26%,2 724
Путешествия и туризм,658 ₽,22.51%,1 814
Работа и вакансии,1 293 ₽,13.15%,1 891
Региональные,865 ₽,37.25%,1 768
Религия и духовность,424 ₽,17.64%,1 230
Скидки и акции,1 343 ₽,13.29%,4 226
Сливы Заработок,1 519 ₽,8.63%,438
Спорт,564 ₽,30.43%,2 837
Ставки и азартные игры,6 286 ₽,31.44%,955
Строительство и ремонт,467 ₽,16.82%,946
Трейдинг,6 683 ₽,18.96%,215
Узбекские каналы,873 ₽,28.89%,2 753
Фитнес,398 ₽,14.60%,132
Хобби и развлечения,286 ₽,24.58%,872
Экономика и Финансы,1 985 ₽,24.08%,430
Юмор и мемы,271 ₽,20.78%,1 414
Юриспруденция,1 915 ₽,23.72%,283
